0, 0, Header, 1, 11, 9600
1, 0, Start_track
1, 0, SMPTE_offset, 96, 0, 0, 0, 0
1, 0, Tempo, 451128
1, 0, Time_signature, 4, 2, 24, 8
1, 825600, Marker_t, "Synth Arpegio Bar 22"
1, 902400, Marker_t, "Brass"
1, 1228800, Marker_t, "BEAT 4/4"
1, 1305600, Marker_t, "Verse 1: They Say That"
1, 1459200, Marker_t, "Modulate"
1, 1612800, Marker_t, "Common Sense'"
1, 1766400, Marker_t, "So Keep An Eye Open"
1, 2035200, Marker_t, "Riff 1"
1, 2188800, Marker_t, "Verse 2"
1, 2918400, Marker_t, "Riff 2"
1, 3072000, Marker_t, "Bridge-Breakdown"
1, 3878400, Marker_t, "Verse 3"
1, 4608000, Marker_t, "Mod to F"
1, 4761600, Marker_t, "Riff 3"
1, 4915200, Marker_t, "Mod to F"
1, 5068800, Marker_t, "Common Sense"
1, 5222400, Marker_t, "So Keep An Eye"
1, 5491200, Marker_t, "A Little Is Enough  ""F"" fade"
1, 5491200, End_track
2, 0, Start_track
2, 0, Title_t, "Drum"
2, 0, Instrument_name_t, "PSR520"
2, 0, Program_c, 9, 0
2, 0, Control_c, 9, 7, 96
2, 0, Control_c, 9, 10, 64
2, 0, Program_c, 9, 8
2, 0, Control_c, 9, 10, 64
2, 0, Control_c, 9, 7, 104
2, 21627, Control_c, 9, 91, 28
2, 60555, Control_c, 9, 91, 29
2, 70648, Control_c, 9, 91, 30
2, 80740, Control_c, 9, 91, 31
2, 90833, Control_c, 9, 91, 32
2, 100925, Control_c, 9, 91, 33
2, 207258, Control_c, 9, 91, 34
2, 212664, Control_c, 9, 91, 35
2, 218071, Control_c, 9, 91, 36
2, 223478, Control_c, 9, 91, 37
2, 483000, Control_c, 9, 91, 38
2, 497418, Control_c, 9, 91, 39
2, 825600, Note_on_c, 9, 35, 110
2, 825600, Note_on_c, 9, 49, 115
2, 835200, Note_on_c, 9, 35, 0
2, 835200, Note_on_c, 9, 49, 0
2, 947293, Note_on_c, 9, 43, 124
2, 950281, Note_on_c, 9, 45, 123
2, 951202, Note_on_c, 9, 43, 0
2, 954321, Note_on_c, 9, 45, 0
2, 960373, Note_on_c, 9, 43, 117
2, 963471, Note_on_c, 9, 43, 0
2, 979200, Note_on_c, 9, 41, 113
2, 981504, Note_on_c, 9, 41, 0
2, 1051200, Note_on_c, 9, 36, 98
2, 1051200, Note_on_c, 9, 41, 119
2, 1051200, Note_on_c, 9, 49, 109
2, 1056000, Note_on_c, 9, 36, 0
2, 1056000, Note_on_c, 9, 41, 0
2, 1060800, Note_on_c, 9, 49, 0
2, 1142400, Note_on_c, 9, 47, 119
2, 1143084, Note_on_c, 9, 47, 0
2, 1146990, Note_on_c, 9, 45, 124
2, 1148616, Note_on_c, 9, 45, 0
2, 1161600, Note_on_c, 9, 45, 124
2, 1162794, Note_on_c, 9, 45, 0
2, 1180800, Note_on_c, 9, 45, 125
2, 1181909, Note_on_c, 9, 45, 0
2, 1190400, Note_on_c, 9, 45, 125
